rollno,register_sem,schedule_sem,subno,grade1,date_of_entry1,grade2,date_of_entry2,sub_type
2012CH18,3,3,CH523,,3/23/2021 20:19:46,,3/23/2021 20:19:46,CORE
1801CS41,7,7,CS577,,7/23/2021 11:47:00,,7/23/2021 11:47:00,Department Elective - II
2012CH17,3,3,CH523,,3/24/2021 22:02:27,,3/24/2021 22:02:27,CORE
1801CS42,7,7,CS491,,7/23/2021 01:06:44,,7/23/2021 01:06:44,CORE
1801CS42,7,7,CS555,,7/23/2021 01:06:44,,7/23/2021 01:06:44,Department Elective - III
1801CS42,7,7,CS571,,7/23/2021 01:06:44,,7/23/2021 01:06:44,Department Elective - II
2012CH16,3,3,CH530,,3/25/2021 10:26:52,,3/25/2021 10:26:52,CORE
2012CH15,3,3,CH525,,3/25/2021 11:49:33,,3/25/2021 11:49:33,CORE
2012CH15,3,3,CH521,,3/25/2021 11:49:33,,3/25/2021 11:49:33,CORE
1801CS43,7,7,CS555,,7/23/2021 01:05:35,,7/23/2021 01:05:35,Department Elective - III
2012CH14,3,3,CH523,,3/25/2021 10:01:52,,3/25/2021 10:01:52,CORE
2012CH13,3,3,CH605,,3/25/2021 22:04:45,,3/25/2021 22:04:45,Elective - I
2012CH13,3,3,CH523,,3/25/2021 22:04:45,,3/25/2021 22:04:45,CORE
2012CH13,3,3,CH521,,3/25/2021 22:04:45,,3/25/2021 22:04:45,CORE
1801CS44,7,7,CS555,,7/23/2021 13:35:01,,7/23/2021 13:35:01,Department Elective - III
1801CS44,7,7,CS571,,7/23/2021 13:35:01,,7/23/2021 13:35:01,Department Elective - II
1801CS44,7,7,CS577,,7/23/2021 13:35:01,,7/23/2021 13:35:01,Department Elective - IV
2012CH12,3,3,CH521,,3/25/2021 21:20:29,,3/25/2021 21:20:29,CORE
1801CS45,7,7,CS491,,7/23/2021 11:44:12,,7/23/2021 11:44:12,CORE
1801CS45,7,7,CS564,,7/23/2021 11:44:12,,7/23/2021 11:44:12,Department Elective - III
2012CH11,3,3,CH527,,3/24/2021 23:55:56,,3/24/2021 23:55:56,CORE
2012CH11,3,3,CH521,,3/24/2021 23:55:56,,3/24/2021 23:55:56,CORE
1801CS45,7,7,HS451,,7/23/2021 11:44:12,,7/23/2021 11:44:12,Open Elective
1801CS46,7,7,CS491,,7/23/2021 12:34:15,,7/23/2021 12:34:15,CORE
1801CE26,7,7,PH401,,7/23/2021 19:43:54,,7/23/2021 19:43:54,Open Elective - III
2012CH10,3,3,CH521,,3/24/2021 22:19:33,,3/24/2021 22:19:33,CORE
1801CS46,7,7,CS577,,7/23/2021 12:34:15,,7/23/2021 12:34:15,Department Elective - IV
1801CS46,7,7,PH401,,7/23/2021 12:34:15,,7/23/2021 12:34:15,Open Elective
2012CH09,3,3,CH521,,3/23/2021 10:12:01,,3/23/2021 10:12:01,CORE
2012CH08,3,3,CH591,,3/23/2021 10:12:37,,3/23/2021 10:12:37,CORE
1801CS47,7,7,CS571,,7/23/2021 02:05:35,,7/23/2021 02:05:35,Department Elective - II
1801CS47,7,7,CS577,,7/23/2021 02:05:35,,7/23/2021 02:05:35,Department Elective - IV
1801CS47,7,7,PH401,,7/23/2021 02:05:35,,7/23/2021 02:05:35,Open Elective
1801CS48,7,7,CS491,,7/23/2021 11:55:55,,7/23/2021 11:55:55,CORE
2012CH07,3,3,CH591,,3/25/2021 21:55:07,,3/25/2021 21:55:07,CORE
2012CH07,3,3,CH523,,3/25/2021 21:55:07,,3/25/2021 21:55:07,CORE
2012CH06,3,3,CH605,,3/24/2021 22:10:36,,3/24/2021 22:10:36,Elective - I
2012CH06,3,3,CH525,,3/24/2021 22:10:36,,3/24/2021 22:10:36,CORE
2012CH05,3,3,CH527,,3/24/2021 20:26:15,,3/24/2021 20:26:15,CORE
2012CH04,3,3,CH591,,3/25/2021 16:24:03,,3/25/2021 16:24:03,CORE
2012CH03,3,3,CH605,,3/22/2021 09:34:51,,3/22/2021 09:34:51,Elective - I
2012CH03,3,3,CH523,,3/22/2021 09:34:51,,3/22/2021 09:34:51,CORE
2012CH02,3,3,CH525,,3/25/2021 21:47:15,,3/25/2021 21:47:15,CORE
2012CH01,3,3,CH527,,3/24/2021 22:08:24,,3/24/2021 22:08:24,CORE
2011MT19,3,3,MH603,,3/22/2021 21:31:57,,3/22/2021 21:31:57,CORE
2011MT17,3,3,MH603,,3/22/2021 12:18:48,,3/22/2021 12:18:48,CORE
1801CB09,7,7,CB409,,7/23/2021 21:51:55,,7/23/2021 21:51:55,CORE
2011MT08,3,3,MH603,,3/24/2021 13:13:23,,3/24/2021 13:13:23,CORE
2011MM15,3,3,MM603,,3/24/2021 22:58:32,,3/24/2021 22:58:32,CORE
2011MM06,3,3,MM603,,3/22/2021 12:14:47,,3/22/2021 12:14:47,CORE
2011ME20,3,3,ME603,,3/22/2021 20:47:27,,3/22/2021 20:47:27,CORE
